tweet_id,check_worthiness,score,tweet_text,reasoning
1237507876345786370,1,0.0,Department of Health has confirmed to Sky News that health minister Nadine Dorries has tested positive for covid-19,"This tweet is not check-worthy because it is not a verifiable factual claim. The Department of Health has confirmed to Sky News that health minister Nadine Dorries has tested positive for covid-19, which means that this information is already verified by a reliable source."
1237034194355867648,1,0.0,"Very grateful to @KingSalman, Crown Prince Mohammed bin Salman &amp; the people of 🇸🇦 for pledging USD 10M to @WHO for the implementation of urgent measures to minimize the spread of #COVID19 &amp; to support countries with vulnerable health infrastructures. https://t.co/qrOhgy5Ghh",The tweet is expressing gratitude and does not contain a verifiable factual claim.
1237138237724004352,1,0.0,"BREAKING: I’m declaring a State of Emergency for New Jersey amid an outbreak of #COVID19. We’ve been ahead of the curve in terms of our preparations, and this declaration will help keep us there. For more information, visit https://t.co/UyohzX5yGk https://t.co/ACoJrkLgJm https://t.co/9gINlZKB1f","This tweet is not check-worthy because it is not a verifiable factual claim. The tweet is a declaration of a state of emergency in New Jersey, which is not a factual claim. It is a decision made by the author of the tweet, and it cannot be verified as true or false."
1236834780487888897,1,0.0,[NEWS] Naver #BAEKHYUN EXO Baekhyun donates 50 million won to prevent the spread of Corona 19 @weareoneEXO #EXO #엑소 @B_hundred_Hyun Please click the link below for more details 🔗https://t.co/c9diM6XfXj https://t.co/X903MJEk1v,The tweet is not check-worthy because it is not a factual claim. It is a news article about a donation made by a celebrity. The tweet does not contain a verifiable factual claim that requires fact-checking.
1242476408896507910,1,0.0,"My fellow citizens, THERE IS ABSOLUTELY NO NEED TO PANIC. Essential commodities, medicines etc. would be available. Centre and various state governments will work in close coordination to ensure this. Together, we will fight COVID-19 and create a healthier India. Jai Hind!","The tweet is a statement of reassurance from a political leader, and does not contain a verifiable factual claim."
1241119424729559041,1,0.0,"I hear unfounded rumors about #NationalGuard troops supporting a nationwide quarantine. Let me be clear: There has been no such discussion. ... For news about the great work the Guard IS doing to support the #Covid_19 response, click the link. #COVID19https://t.co/JZROM4xfF9","The tweet is a denial of a rumor, and the tweet does not contain a verifiable factual claim."
1242107392713584642,1,0.0,"Namaskaram, this message is not from Sadhguru. This is a fake message that is being circulated on WhatsApp. We request you to delete these tweets. 🙏🏻","The tweet is not making any factual claims, it is just asking people to delete a fake message"
1242476319608201216,1,0.0,"This man is spreading lies and fake news. Dear responsible Malaysians, kindly report him to https://t.co/i1B2suHGIN. Thank you. https://t.co/GVtH1oG4EF","The tweet does not contain a verifiable factual claim. It is asking people to report a man who is spreading lies and fake news, but it does not specify what those lies and fake news are. Therefore, it is not check-worthy."
1235760802851778560,1,0.0,Korea: giving free test kit for covid-19  PH: we on tiktok!!! 🥰,The first part of the tweet is not check-worthy because it does not contain a verifiable factual claim. The second part of the tweet is not check-worthy because it is a statement of opinion and does not contain a verifiable factual claim.
1235714668833828864,1,0.0,"This #coronavirus emergency response package gives our government the resources it needs to confront this public health crisis – without stealing a dime from other critical initiatives. With my signature, it goes to the President’s desk. https://t.co/stxLFdcdcj",The tweet is a statement of a political action and does not contain a verifiable factual claim.
