sentence_id,Verdict,score,Text,reasoning
6977,1,0.0,"But I want to warn my fellow citizens: The cost of doing nothing, the cost of saying the current system is OK, far exceeds the costs of trying to make sure we save the system for our children.",This sentence is non check-worthy as it contains a subjective statement 'the cost of doing nothing exceeds the costs of trying to make sure we save the system for our children' which is an opinion and not a factual claim.
24841,1,0.0,The Soviet Union is no more and we're working with a democratic country.,"This statement is non-checkworthy as it only contains subjective and opinion-centered statements. The Soviet Union being 'no more' is a subjective statement, and 'working with a democratic country' is an opinion and a statement about the present, which cannot be fact-checked using publicly available information."
8928,1,0.0,"And one is going to give you $122 more if you happen to be in that range of about a $20,000-a-year income.","This sentence is non-checkworthy as it only contains a statement about a monetary amount being given and an income range, which are both trivial factual claims."
8124,1,0.0,I'm not satisfied to have fifty percent of our steel-mill capacity unused.,This sentence contains a subjective statement 'I'm not satisfied' and does not contain any factual claim that is salient to the general public.
27084,1,0.0,They're willing to work with us.,"This sentence is non-checkworthy as it only contains a subjective statement about someone's willingness to work with another party, which cannot be fact-checked using publicly available information."
20753,1,0.0,Imagine how many IRS agents it is going to take to be able to figure out his targeted tax cut for the middle class that excludes 50 million Americans.,This sentence is non check-worthy as it contains a hypothetical scenario and a subjective statement ('targeted tax cut for the middle class') that cannot be fact-checked using publicly available information.
25897,1,0.0,We have never been asked to send troops to the West Bank.,This statement is not checkworthy as it is an opinion and does not contain any factual claims that can be verified using publicly available information.
14952,1,0.0,We've had the Central Accounting.,"This sentence does not contain any factual claims that are checkworthy or salient to the general public. It only refers to 'Central Accounting,' which is a vague term that could apply to many different things. Without more context, it is impossible to fact-check this statement using publicly available information."
12414,1,0.0,"That's going to be up to the people, isn't it?","This sentence is non-checkworthy as it is a question and contains subjective elements, implying that the answer may vary from person to person."
27076,1,0.0,"And finally, we don't want to have military involvement there.",This sentence does not contain any factual claims that are checkworthy. It is an opinion-centered statement expressing a desire not to have military involvement in a certain location.
17129,1,0.0,This is the worst trade year in American history by far.,This statement is an opinion and cannot be fact-checked using publicly available information.
1851,1,0.0,"But under Governor Romney's definition, there are a whole bunch of millionaires and billionaires who are small businesses.",This sentence is non-checkworthy as it contains a subjective statement about Governor Romney's definition and does not contain any factual claims that can be verified using publicly available information.
1086,1,0.0,"But to add one other feature, I don't control any of the tapes.","This sentence does not contain any factual claims that are checkworthy. It is a statement about the speaker's lack of control over tapes, which is subjective and not salient to the general public."
19466,1,0.0,The administration says they support the instant check.,"This sentence only contains a statement from the administration, which is an opinion or a claim made by them. Without any factual information or publicly available data to support the claim, it is not check-worthy."
1020,1,0.0,"I proposed, as you know, a reduction to increase the personal exemption from seven hundred and fifty to a thousand dollars.","This sentence is non-checkworthy as it only contains a statement about a proposed action, which is subjective and not factual."
26455,1,0.0,"In February he said we had the best economy in Ã‚ 30 years, just February.",This statement contains an opinion ('best economy') and a vague time reference ('in February'). It does not contain any factual claims that can be objectively verified using publicly available information.
15518,1,0.0,"He founded authored, the job training partnership act.","This sentence contains a claim about a person founding an act, but it is not clear which act is being referred to or if it is a factual claim. Without more context or information, it is impossible to fact-check this statement."
16000,1,0.0,It wasn't created as a welfare program.,This statement is opinion-centered and does not contain any factual claims that can be checked using publicly available information.
27176,1,0.0,This -- we have weakened our economy.,This sentence is non check-worthy as it contains a subjective statement 'we have weakened our economy' which is an opinion and not a factual claim.
3673,1,0.0,"With all due respect, you already gave them to the oil companies.",This sentence is non-checkworthy as it is an opinion-centered statement and does not contain any factual claims.
30363,1,0.0,I said she doesn't have the stamina.,"This sentence is non-checkworthy as it contains a subjective statement and opinion about someone's stamina, which cannot be fact-checked using publicly available information."
34155,1,0.0,"Well, you know, once again, Donald is implying that he didn't support the invasion of Iraq.","This sentence contains a subjective statement ('once again, Donald is implying') and a vague claim ('didn't support the invasion of Iraq') which lacks clear factual information. It is not check-worthy."
34165,1,0.0,And you will see the dozens of sources which verify that he was for the invasion of Iraq.,"This sentence is non check-worthy as it only contains a statement about the existence of sources, which is a trivial factual claim. There is no specific claim about the contents of those sources or the facts they verify."
20109,1,0.0,"I think they're better off, all of us are, that we got the interest rates down and the deficit down.","This sentence contains subjective statements and opinions, and does not contain any factual claims that are check-worthy or salient to the general public."
8975,1,0.0,"The truth of the matter is, we did cut the increase in spending in half.",This sentence is non-checkworthy as it contains a subjective statement 'the truth of the matter is' and a qualifier 'we did cut the increase in spending in half' which is an opinion and not a fact.
2496,1,0.0,It wasn't a government takeover of health care.,This sentence is non-checkworthy as it is an opinion statement and does not contain any factual claims that can be verified or falsified using publicly available information.
4209,1,0.0,He doesn't understand that Russia committed serious aggression against Georgia.,This statement is an opinion and does not contain any factual claims that can be checked using publicly available information.
14710,1,0.0,It's been tried for 12 years and it's failed.,This sentence is non check-worthy as it only contains a statement about the duration of an event (12 years) and a subjective statement ('it's failed'). There is no factual claim that can be verified using publicly available information.
8806,1,0.0,That meant immediately 46% of your people that were signing up had no reason for signing up.,This sentence contains a subjective statement 'had no reason for signing up' which cannot be fact-checked using publicly available information.
29236,1,0.0,"In fact, Donald was one of the people who rooted for the housing crisis.","This sentence is non check-worthy as it contains an opinionated statement about Donald's actions during the housing crisis, which cannot be fact-checked using publicly available information."
2591,1,0.0,The proof of that is 1 out of 6 people in poverty.,"This sentence contains a factual claim, but it is not checkworthy because it is not salient to the general public. The statistic '1 out of 6 people in poverty' is specific to the United States and may change over time. Additionally, it is not a widely known fact, and its significance may not be immediately clear to the general public. Therefore, it does not meet the criteria for a check-worthy claim."
32483,1,0.0,"And I will tell you, Hillary Clinton is raising your taxes, folks.",This statement is an opinion and does not contain any factual claims that can be checked using publicly available information.
7030,1,0.0,That's exactly where the tax cuts went.,This sentence does not contain any factual claims that can be checked using publicly available information. It is an opinionated statement that does not provide any specific information about where the tax cuts went or how much they amounted to.
33311,1,0.0,"The border -- as you know, the Border Patrol agents, 16,500-plus ICE last week, endorsed me.","This sentence contains multiple claims, but none of them are factual or salient to the general public. The first claim, 'The border', is a vague and subjective term. The second claim, '16,500-plus ICE last week', is a factual claim, but it is not salient to the general public and it is not publicly available information. The third claim, 'endorsed me', is an opinion-centered statement and is not factual or salient to the general public."
30174,1,0.0,I was against the war.,This sentence is non-checkworthy as it is a subjective statement about the speaker's opinion.
33747,1,0.0,I have fought against that as a senator.,This sentence is non-checkworthy as it is an opinion-centered statement and does not contain any factual claims that can be verified using publicly available information.
21572,1,0.0,I don't have any PAC money in my campaign.,"This statement is not check-worthy as it is a simple statement of fact about the speaker's campaign finances, which is not publicly available information and does not provide any new or significant factual information to the general public."
11708,1,0.0,That would be an abrogation of our agreement with NATO.,"This sentence does not contain any factual claims that are checkworthy. It only expresses an opinion about an abrogation of an agreement, which is subjective in nature."
6112,1,0.0,"He says he's going to give you all a $5,000 tax credit.","This statement is not checkworthy as it is a promise or statement of intent, which is subjective and not based on verifiable facts."
16545,1,0.0,"Now it seems to me that uh - as we look at the recommendations of the budget committees and our own projections, there isn't going to be any $60 billion dividend.",This sentence does not contain any factual claims that are checkworthy. It only expresses the speaker's opinion about the budget committees' recommendations and their own projections.
13449,1,0.0,They're moving about eight or nine days in Texas.,This sentence contains a vague and imprecise claim about the number of days someone is moving in Texas. It is not factual and does not provide any publicly available information that can be fact-checked.
25749,1,0.0,"They see 900 FBI files, private person, being gathered up by somebody in the Whitehouse.","This sentence contains multiple factual inaccuracies and lacks sufficient context to determine the truth. The number 900 is not specified as the number of FBI files or the number of files being gathered up. It is also unclear who'somebody' is and where in the White House the gathering is taking place. Additionally, the sentence implies that a private person is involved, but no such identification is made. Without more information, it is impossible to fact-check this claim."
23087,1,0.0,"We not only fixed Medicare and took it way out into the future, we did something that you don't know how to do: We balanced the budget.",This sentence contains opinionated statements and no factual claims that can be checked using publicly available information.
20063,1,0.0,"I'm trying to save your Medicare, just as I rescued Social Security with a bipartisan commission.",This sentence contains subjective and opinion-centered statements. The claim about saving Medicare is not factual or salient to the general public as it is a political statement. The claim about rescuing Social Security with a bipartisan commission is also not fact-checkable as it requires more context and specific information about the commission and its impact on Social Security.
23352,1,0.0,That's why I proposed a hydrogen automobile -- hydrogen-generated automobile.,This sentence does not contain any factual claims that are checkworthy. It only mentions a proposed action (proposing a hydrogen automobile) and the reason for the action (hydrogen-generated). These are subjective and opinion-centered statements.
8010,1,0.0,We have never said flatly that we will defend Quemoy and Matsu if it's attacked.,"This sentence contains a negation and a conditional statement, making it difficult to fact-check objectively using publicly available information. It is more of a statement about the speaker's position or policy rather than a factual claim."
18152,1,0.0,"First of all, what my opponent wants you to forget is that he voted to authorize the use of force and now says it's the wrong war at the wrong time at the wrong place.",This sentence contains a subjective statement ('my opponent wants you to forget') and an opinionated statement ('wrong war at the wrong time at the wrong place'). It does not contain any factual claims that are salient to the general public.
2900,1,0.0,"And I'm not gonna exclude the American people from that process in the future, as Mr. Ford and Kissinger have done.",This sentence does not contain any factual claims that are checkworthy. It is an opinionated statement about the actions of Ford and Kissinger in the past.
29373,1,0.0,"And by the way, my tax cut is the biggest since Ronald Reagan.",This statement is an opinion and cannot be fact-checked using publicly available information.
4240,1,0.0,I immediately said that this was illegal and objectionable.,This sentence is non-checkworthy as it is a subjective statement about the speaker's actions and opinions.
32764,1,0.0,"I do think the use of special forces, which we're using, the use of enablers and trainers in Iraq, which has had some positive effects, are very much in our interests, and so I do support what is happening, but let me just...","This sentence is non check-worthy as it is mostly composed of opinion-centered statements and does not contain any clear factual claims. The sentence does mention the use of special forces and trainers in Iraq, but this is a trivial factual claim that is not salient to the general public and can be easily verified. Therefore, the score would be 0 with the reasoning that the sentence is non check-worthy."
25817,1,0.0,We've always had at least 7 percent.,"This sentence contains a subjective statement 'We've always had' and a vague claim 'at least 7 percent'. Without more context or specific information, it is not possible to fact-check this statement using publicly available information."
19660,1,0.0,"If you change your job, you're going to be covered.","This sentence is non-checkworthy as it only contains a subjective statement and a conditional statement, which are not factual or salient to the general public."
13419,1,0.0,The t- man who grows tomatoes - it costs less for those tomatoes than it does for the label on the can.,"This sentence contains a non-specific reference to a 't-man' and a comparison of costs between tomatoes and a can label, which is a trivial factual claim. It does not contain any clear factual claims that are salient to the general public."
24938,1,0.0,"I was very interested to hear about Central America and our process down there, and I thought for a moment that instead of a debate I was going to find Mr. Mondale in complete agreement with what we're doing, because the plan that he has outlined is the one we've been following for quite some time, including diplomatic processes throughout Central America and working closely with the Contadora group.","This sentence does not contain any factual claims that are checkworthy. It is a statement about the speaker's thoughts and expectations during a debate, and does not provide any information that is salient to the general public or able to be fact-checked using publicly available information."
33030,1,0.0,Hillary Clinton wants to put all the miners out of business.,"This statement is not checkworthy as it is an opinionated statement about Hillary Clinton's intentions, which cannot be fact-checked using publicly available information."
17626,1,0.0,"And, no, I never proposed any $20 billion should come out of Medicare; I have proposed that the program we must treat with that particular problem.",This sentence does not contain any factual claims that are checkworthy as it only refers to a proposal made by someone and does not provide any specific details or facts about the proposal or the problem being treated.
27986,1,0.0,I was in a state where my legislature was 87 percent Democrat.,This sentence is non-checkworthy as it is a subjective statement about the author's personal legislative representation and does not contain any factual claims that can be verified using publicly available information.
6991,1,0.0,We paid down the debt for two years.,This sentence is non-checkworthy as it only contains a statement about an action that was taken in the past without providing any factual information about the amount or type of debt that was paid down.
27454,1,0.0,You're seeing it right now in the economy.,This sentence is non-checkworthy as it is a subjective statement and does not contain any factual claims.
23641,1,0.0,My opponent was against that.,This sentence only contains an opinion and does not contain any factual claims that can be checked.
17904,1,0.0,"When we terminated 400,000 desperate, hopeless, defenseless Americans who were on disability -- confused and unable to defend themselves, and just laid them out on the street, as we did for 4 years, I don't think that's what America is all about.","This sentence contains subjective statements and opinions, and does not contain any factual claims that are checkworthy or salient to the general public."
19484,1,0.0,He tried to keep it from coming to my desk.,"This sentence does not contain any factual claims that are checkworthy or salient to the general public. It only describes an action (He tried to keep it) and a location (my desk), which are not factual claims in themselves."
8507,1,0.0,"The fact of the matter is it was a bill that was less than you recommended, Mr. Nixon, this morning in your proposal.",This sentence is non-checkworthy as it only contains a statement about a past event (Mr. Nixon's proposal) and does not contain any factual claims that can be checked using publicly available information.
19657,1,0.0,The President held it up.,"This sentence is non check-worthy as it only contains a simple statement about an action performed by the President, which is not factual enough to be checked."
21840,1,0.0,"It costs $20-25 billion a year, and I want to see those outrageous claims capped.","This sentence contains no factual claims that are checkworthy. It only expresses an opinion and a desire, and does not provide any specific facts or statistics that could be fact-checked."
19757,1,0.0,"I would like to have had a big, organized summit, but those people were killing each other, rapidly, innocent Arab children, innocent Israeli people, they were dying.",This sentence contains multiple opinionated statements and no factual claims that can be checked using publicly available information.
24842,1,0.0,"Poland, Hungary, Czechoslovakia, the Baltics are free.","This sentence is non check-worthy as it only contains subjective and opinion-centered statements. The term 'free' is not defined and can be interpreted differently by different people. Additionally, the sentence does not contain any factual claims that can be verified using publicly available information."
7309,1,0.0,And I'd have taken it out to the country and I'd have had every law enforcement officer in the country visit those congressmen.,This sentence is non-checkworthy as it contains no factual claims and is primarily an expression of hypothetical actions and opinions.
14415,1,0.0,"Let's take Mr. Bush for the moment at his word -- he's right, we don't have any evidence at least that our government did tell Saddam Hussein he could have that part of Kuwait.",This sentence is non-checkworthy as it only contains a statement about what Mr. Bush said and does not contain any factual claims that can be checked using publicly available information.
10032,1,0.0,"I said I'd end the war in Libya -- in -- in Iraq, and I did.","This sentence contains multiple claims, but all of them are opinion-based or past events that have already been decided. There is no factual information that can be checked publicly."
25071,1,0.0,"It is true over 10 years ago I voted to delay production of the F - 14, and I'll tell you why.",This sentence is non-checkworthy as it is a statement about a personal action in the past and does not contain any factual claims that can be verified using publicly available information.
25462,1,0.0,"And the B - 1 is similarly to be opposed, because for 15 years the Soviet Union has been preparing to meet the B - 1.",This sentence is non check-worthy because it contains a subjective statement 'to be opposed' and a historical claim 'the Soviet Union has been preparing to meet the B - 1 for 15 years' which is not publicly verifiable.
26613,1,0.0,In 1983 we thought we had a 75 -year fix.,"This sentence is non check-worthy as it only contains a statement about past thoughts or beliefs, which are subjective and not factual. Therefore, the score would be 0."
1056,1,0.0,"Uh - I uh - agreed to give the interview uh - to Playboy Other people have done it who are notable - uh - Governor Jerry Brown, uh - Walter Cronkite, uh - Albert Schweitzer, Mr. Ford's own secretary of the treasury, Mr. Simon, uh - William Buckley - many other people.","The sentence contains multiple names of people who have given interviews to Playboy, but it does not contain any factual claims that can be objectively verified. Therefore, it is not check-worthy."
25162,1,0.0,"First of all, Mr. Mondale should know that the President of the United States did not order the marines into that barracks.",This sentence is non-checkworthy as it only contains an opinion and a statement that is already known to be false (Mr. Mondale's statement about the President ordering the marines into the barracks).
23709,1,0.0,"We didn't guard 850,000 tons of ammo.","This sentence is non-checkworthy as it only contains a statement about an action that was not taken in the past, which is not factual and not salient to the general public."
14056,1,0.0,The laws protect the American taxpayer in this regard.,This sentence is non-checkworthy as it is a subjective statement and does not contain any factual claims that can be verified using publicly available information.
14542,1,0.0,"Forty-3 -- more than that -- states have it, I believe.",This sentence contains a subjective statement 'I believe' and does not provide any factual information about the number of states with a specific condition. It is not check-worthy.
27551,1,0.0,"And when I went to Israel as a candidate, I didn't take donors.","This sentence is non-checkworthy as it only contains a statement about the speaker's past actions, which is not factual and not salient to the general public."
12634,1,0.0,The rest either abstained or voted against us.,"This sentence is non-checkworthy as it only contains a statement about the actions of a group of people, which is not factual and not salient to the general public."
12138,1,0.0,I thought that's exactly what he and Mrs. Clinton and them fought for in 1993 was a government-run health care system.,This sentence contains no factual claims that can be checked using publicly available information. It only expresses the speaker's opinion and interpretation of historical events.
34259,1,0.0,"We're giving them lots of money, lots of everything.",This sentence is non-checkworthy as it is an opinionated statement and does not contain any factual claims that can be verified using publicly available information.
26129,1,0.0,"We have in the Dole-Kemp economic plan, unless unless your home's worth over 500,000 dollars.","This sentence contains a conditional statement with an 'unless unless' clause, which makes it difficult to determine a clear factual claim. Additionally, it mentions a specific economic plan (Dole-Kemp), which may require additional context to fact-check effectively. Therefore, it is considered non-checkworthy."
14673,1,0.0,I'm totally focussed on the fact that we are still evading the issue of the Glaspie papers.,This sentence does not contain any factual claims that are salient to the general public. It only expresses the speaker's focus and opinion on a specific issue.
28147,1,0.0,"If you're poor, they pay all of it.",This sentence is non-checkworthy as it is an opinionated statement and does not contain any factual claims that can be verified using publicly available information.
14569,1,0.0,"And the president said never, never, never would he raise taxes in New Jersey, and within a day Marlin Fitzwater, his spokesman, said now, that's not a promise.","This sentence contains no factual claims that are checkworthy. It only reports what the president and his spokesman said, which are opinion-centered statements."
19250,1,0.0,He doesn't fix it for ten years.,"This sentence is non check-worthy as it only contains a statement about an action that was not taken in the past, and the time frame (ten years) is not quantifiable or verifiable with publicly available information."
19529,1,0.0,"They didn't have the weapons, they didn't have the tanks.","This sentence contains only negative statements about the absence of weapons and tanks, which are not factual claims that can be checked using publicly available information."
10669,1,0.0,"My friends, some of this $700 billion ends up in the hands of terrorist organizations.",This sentence is non check-worthy as it contains a subjective statement'some of this $700 billion ends up in the hands of terrorist organizations' which is an opinion and cannot be fact-checked using publicly available information.
29740,1,0.0,"It went before a judge, who was a very against-police judge.",This sentence is non-checkworthy as it contains a subjective statement about a judge's perceived attitude towards police.
31932,1,0.0,And many Republicans and independents have said the same thing.,"This sentence is non check-worthy as it only contains a statement about what some people have said, which is subjective and not factual."
32437,1,0.0,I have no loans from Russia.,This statement is a personal claim and does not contain any factual information that can be verified publicly.
17653,1,0.0,We have set a line at 130 percent so that we can direct that aid down to the truly needy.,This sentence does not contain any factual claims that are checkworthy. It is a statement about a specific action (setting a line at 130 percent) and does not provide any information that is salient to the general public or can be fact-checked using publicly available information.
7842,1,0.0,Let me make it very clear that the bill that Mr. Nixon talked about did not mention Wilkes-Barre or Scranton; it did not mention West Virginia.,"This sentence is non-checkworthy as it only contains negative statements about what a bill did not mention, which are not factual claims that can be verified using publicly available information."
32808,1,0.0,But she's lied about a lot of things.,This sentence is non check-worthy as it is an opinion and does not contain any factual claims.
19848,1,0.0,I've supported all the education programs.,This sentence is non-checkworthy as it only contains a subjective statement about the speaker's actions and does not contain any factual claims that can be verified using publicly available information.
1489,1,0.0,"I believe that to be accurate, I had 49 percent; President Ford, 39 percent.","This sentence contains only subjective statements and opinions, and does not contain any factual claims that can be checked using publicly available information."
33221,1,0.0,They're running millions of dollars of ads against me.,"This sentence contains a subjective claim about the amount of money being spent on ads, which cannot be fact-checked using publicly available information."
5730,1,0.0,"Even FOX News disputes it, and that doesn't happen very often when it comes to accusations about me.",This sentence is non-checkworthy as it contains an opinionated statement about the speaker's reputation and the frequency of disputes about accusations against them on FOX News.
28280,1,0.0,"It's based on the plan of Governor Jim Hunt in North Carolina, and it works great.",This sentence contains an opinionated statement 'it works great' and does not provide any factual information that can be checked using publicly available information.
2215,1,0.0,"So they don't have to pay additional money, no additional $6,000.","This sentence does not contain any factual claims that are checkworthy. It only mentions the absence of an additional $6,000 payment, which is a trivial factual claim."
10638,1,0.0,I have fought to reduce the earmarks and eliminate them.,This sentence is non-checkworthy as it is an opinion-centered statement about an action taken by a specific person (reducing earmarks and eliminating them) and does not contain any factual claims that can be verified using publicly available information.
10916,1,0.0,Senator Obama has approved storage and reprocessing of spent nuclear fuel.,This statement is non-checkworthy as it is a simple statement of fact that is not salient to the general public and can be easily verified by checking Obama's voting record on nuclear energy issues.
6693,1,0.0,"If you're married, we reduced the marriage penalty.",This sentence is non check-worthy as it only contains a subjective statement and a statement that is a common feature of marriage (marriage penalty). It does not contain any factual claims that can be checked using publicly available information.
8473,1,0.0,And we were informed at the time it came to a vote that if it was adopted the President of the United States would veto it.,This sentence only contains an opinion about the President's potential actions and is not factual or salient to the general public.
26655,1,0.0,We have concluded with Japan 21 -- about to be 22 -- trade agreements now.,"This sentence does not contain any factual claims that are checkworthy. It only mentions a conclusion and a number, which are not publicly verifiable facts."
18560,1,0.0,I didn't say I would bring troops out in six months.,"The sentence is non check-worthy as it is a statement of what someone did not say, rather than a factual claim. It is an opinion-centered statement and does not contain any publicly available information that can be fact-checked."
106,1,0.0,"And let me lay out for you my own strategy for bring that deficit down, because as a chief executive that's balanced ten budgets in a row, I've had to make those tough decisions and those tough choices.",This sentence does not contain any factual claims that are checkworthy. It is an assertion about the speaker's past accomplishments and does not provide any new or verifiable information.
24127,1,0.0,So that one we came away with in creating jobs for the American people.,This sentence does not contain any factual claims that are checkworthy. It is a subjective statement about the intent of 'coming away with' something in creating jobs for American people.
29955,1,0.0,"But just last week, your campaign manager said it was true.","This sentence only contains a reference to a statement made by someone else, without providing any factual information or claims of its own. It is not check-worthy."
20839,1,0.0,And many of the public schools are meeting the call.,This sentence is non-checkworthy as it only contains a subjective statement'many of the public schools are meeting the call'. It does not contain any factual claims that can be checked using publicly available information.
29502,1,0.0,The Fed is doing political -- by keeping the interest rates at this level.,This sentence is non check-worthy as it contains a subjective statement 'doing political' which is an opinion and cannot be fact-checked using publicly available information.
8784,1,0.0,"But, I think that that is clearly related to the fact that, going back to the time when the all-volunteer Army was created in 1973 - and I worked hard for it and supported it - we simply have failed to keep pace with the cost of living.","This sentence is non check-worthy as it contains subjective statements and opinions, and does not contain any factual claims that can be verified using publicly available information."
9817,1,0.0,The entire record is such that the unemployment has not been reduced in this country.,This sentence is non check-worthy as it only contains a subjective statement about the reduction of unemployment in 'this country' without specifying any facts or figures.
19356,1,0.0,"He appointed three people, I appointed three people to get campaign finance reform.",This sentence is non-checkworthy as it only contains opinion-centered statements and does not contain any factual claims that can be verified using publicly available information.
17387,1,0.0,That barely held even with -- if it did that much -- with the gigantic tax increase imposed in 1977.,"This sentence does not contain any clear factual claims that can be checked using publicly available information. It only mentions a tax increase that occurred in 1977, but it does not provide any specific details about the size or impact of the tax increase. Therefore, it is not check-worthy."
24584,1,0.0,I do think it's fair to note -- he can rebut it -- but Arkansas is one of the few states that doesn't have any civil rights legislation.,This sentence is non-checkworthy as it is an opinion and does not contain any factual claims.
21629,1,0.0,Mr. Perot wants to do the same thing.,"This sentence does not contain any factual claims that are checkworthy. It only contains a statement of intent, which is subjective and not publicly verifiable."
32443,1,0.0,"As soon as I have -- first of all, I pay hundreds of millions of dollars in taxes.","This sentence does not contain any factual claims that are checkworthy. It only mentions the speaker's action of paying taxes, which is a trivial factual claim."
19701,1,0.0,Now we've got all thousands and thousands of refugees.,"This sentence does not contain any factual claims that are checkworthy. It only mentions the presence of 'thousands and thousands' of refugees, which is a trivial factual claim."
19156,1,0.0,"If you made 25,000 as the original proposal, you got your Social Security taxes increased.",This sentence is non check-worthy as it only contains a statement about a specific financial transaction and does not provide any factual information that can be verified publicly.
228,1,0.0,I think we have to demonstrate some flexibility and I think the FDA is attempting to do so now in trying to make it possible for new and experimental drugs to be available to people who are at risk at AIDS and I would hope that we could bring that kind of a policy to bear beginning in January.,"This sentence expresses an opinion and a hope, and it does not contain any factual claims that are checkworthy."
12575,1,0.0,I have sustained it since then.,"This sentence does not contain any factual claims that are checkworthy. It is a statement about the speaker's past actions, which is subjective and not publicly verifiable."
32681,1,0.0,Iran now and Russia are now against us.,This sentence contains two subjective claims: 'Iran is now against us' and 'Russia is now against us'. These claims are based on the speaker's perspective and cannot be objectively fact-checked using publicly available information.
17524,1,0.0,There are a million and a half people out there standing in line waiting to adopt children who can't have them any other way.,"This sentence contains a claim about the number of people waiting to adopt children, which is factual. However, it is not salient to the general public as there is no publicly available information to verify this claim with a high degree of confidence. Adoption is a personal matter and the number of people waiting to adopt can vary greatly depending on various factors such as location, time of year, and individual circumstances. Therefore, it is not possible to fact-check this claim using publicly available information with a high degree of confidence."
16711,1,0.0,Now we've increased that amount 25 percent.,"This sentence does not contain any factual claims that are checkworthy. It only mentions an increase of an amount without specifying what that amount is or by how much it was increased previously. Therefore, it is non-checkworthy."
19513,1,0.0,"And, I might add, with the democratic Russia.",This sentence does not contain any factual claims that are checkworthy. It is an opinionated statement that does not provide any publicly available information that can be fact-checked.
34042,1,0.0,"It's crooked -- she's -- she's guilty of a very, very serious crime.",This sentence contains multiple subjective statements and does not contain any clear factual claims that could be checked.
15093,1,0.0,I have been accused lately of having a secret plan with regard to the hostages.,"This sentence is non check-worthy as it only contains an accusation and a subjective statement, and there is no clear factual claim that can be fact-checked using publicly available information."
2425,1,0.0,We didn't put in place a board that can tell people ultimately what treatments they're going to receive.,"This sentence does not contain any factual claims that are checkworthy. It is a statement about an action that was not taken (not putting in place a board), but it does not provide any specific information about the nature of the board or the treatments in question. Therefore, it is not possible to fact-check this statement using publicly available information."
33057,1,0.0,"You know, because it sounds like you're in the business or you're aware of people in the business -- you know that we are now for the first time ever energy-independent.",This sentence is non check-worthy as it contains subjective statements and no factual claims.
8550,1,0.0,"Four hundred billion, approximately, is a result of what individuals do.",This sentence is non check-worthy as it is too vague and does not contain any clear factual claims.
1975,1,0.0,And so I've put forward a specific $4 trillion deficit reduction plan.,"This sentence does not contain any factual claims that are checkworthy. It only mentions a specific dollar amount, which is a trivial factual claim."
14084,1,0.0,We've wrecked the airline industry already because of all these leverage buyouts and all these terrible things that have happened to the airline industry.,This statement is opinion-centered and does not contain any factual claims that can be checked using publicly available information.
2005,1,0.0,You said you'd cut the deficit in half.,"This statement is not checkworthy as it is a promise or statement of intent, rather than a factual claim."
12251,1,0.0,We are a big industrial state.,"This sentence is non-checkworthy as it is a subjective statement about the size of a state, which can vary in interpretation."
